customer_id,order_date,revenue
1,2023-05-25,140.31
1,2023-06-25,110.64
1,2023-06-26,304.59
1,2023-08-12,285.57
1,2023-10-21,211.35
1,2023-10-31,147.67
1,2023-12-25,230.75
2,2023-03-12,70.82
2,2023-05-03,265.35
2,2023-05-30,464.79
2,2023-06-23,388.13
2,2023-07-02,414.43
2,2023-07-17,329.6
2,2023-07-29,374.59
2,2023-09-28,394.12
2,2023-10-10,494.93
2,2023-11-08,249.91
3,2023-09-13,68.97
3,2023-10-23,324.3
3,2023-10-28,319.68
3,2023-11-27,275.83
4,2023-03-09,176.88
4,2023-03-26,149.77
4,2023-03-26,401.33
4,2023-05-05,491.55
4,2023-06-30,451.47
4,2023-12-10,346.82
5,2023-12-14,54.35
5,2023-12-17,59.36
5,2023-12-24,80.94
6,2023-09-22,371.0
6,2023-11-15,107.05
6,2023-11-25,419.51
6,2023-11-26,395.72
6,2023-12-02,334.54
7,2023-08-09,276.85
7,2023-09-26,219.6
8,2023-07-19,161.15
8,2023-08-03,482.14
8,2023-11-02,205.15
8,2023-11-18,404.79
9,2023-04-27,56.58
9,2023-05-06,350.55
9,2023-06-04,160.45
9,2023-06-09,175.72
9,2023-06-23,341.39
9,2023-07-02,294.87
9,2023-09-06,189.43
9,2023-09-14,241.84
9,2023-10-08,86.76
9,2023-10-27,396.54
10,2023-06-02,101.46
10,2023-07-04,82.8
10,2023-07-31,324.34
10,2023-08-20,367.38
10,2023-09-10,210.05
10,2023-09-17,463.6
10,2023-10-12,428.62
10,2023-12-19,438.31
11,2023-04-07,450.03
11,2023-05-11,327.52
11,2023-11-17,350.71
12,2023-06-30,223.95
12,2023-08-20,407.49
12,2023-10-27,274.73
13,2023-12-27,170.1
13,2023-12-28,241.38
13,2023-12-28,376.31
13,2023-12-28,115.62
13,2023-12-28,210.32
13,2023-12-30,429.42
14,2023-06-03,354.69
14,2023-06-27,165.25
14,2023-07-09,29.09
14,2023-08-14,66.36
14,2023-08-19,109.32
14,2023-08-27,163.64
14,2023-10-10,158.94
14,2023-12-26,466.07
15,2023-08-31,342.34
15,2023-09-16,470.06
15,2023-10-13,148.97
15,2023-11-03,92.49
15,2023-11-11,24.21
15,2023-11-20,213.24
15,2023-12-01,224.85
15,2023-12-14,275.07
15,2023-12-17,323.65
16,2023-09-25,447.08
16,2023-12-07,258.42
17,2023-08-27,271.42
17,2023-09-13,179.82
17,2023-10-05,180.57
17,2023-10-25,73.84
17,2023-10-30,64.64
17,2023-11-06,32.82
17,2023-11-16,130.61
17,2023-12-06,67.22
18,2023-07-07,76.4
18,2023-07-26,499.72
18,2023-08-16,476.23
18,2023-08-25,154.32
18,2023-09-27,194.32
18,2023-12-27,390.68
19,2023-04-16,414.26
19,2023-04-20,408.45
19,2023-07-17,75.97
19,2023-09-10,161.0
19,2023-09-25,492.21
19,2023-09-28,171.54
19,2023-10-19,326.86
19,2023-12-10,294.27
19,2023-12-24,151.19
19,2023-12-24,378.93
20,2023-09-08,98.84
20,2023-09-16,329.51
20,2023-11-24,476.74
21,2023-06-07,119.82
21,2023-06-15,156.5
21,2023-07-07,282.48
21,2023-07-19,422.48
21,2023-08-06,241.79
21,2023-08-09,394.59
21,2023-08-22,152.28
21,2023-08-26,263.54
21,2023-09-23,181.47
21,2023-10-25,92.94
22,2023-07-13,438.05
22,2023-08-13,252.5
22,2023-10-03,114.29
22,2023-10-21,197.88
22,2023-11-04,268.95
22,2023-11-10,68.8
22,2023-12-27,444.2
23,2023-07-17,58.59
23,2023-08-07,228.12
23,2023-10-28,75.41
23,2023-11-05,330.21
23,2023-11-12,243.07
24,2023-09-07,223.37
24,2023-09-10,153.34
24,2023-10-08,206.3
24,2023-10-22,188.31
24,2023-11-04,170.44
24,2023-11-10,278.2
24,2023-11-24,247.24
24,2023-12-22,406.6
25,2023-06-27,391.81
25,2023-09-12,363.86
25,2023-10-29,256.1
25,2023-11-10,327.19
25,2023-12-16,199.58
25,2023-12-30,115.81
26,2023-12-21,469.12
26,2023-12-27,70.69
27,2023-11-10,294.71
27,2023-12-04,480.04
28,2023-10-19,292.99
28,2023-10-29,156.63
28,2023-10-29,290.51
28,2023-11-14,146.02
28,2023-11-16,234.34
28,2023-12-15,403.67
28,2023-12-16,158.85
28,2023-12-27,447.47
29,2023-06-24,132.71
29,2023-06-25,410.09
29,2023-06-30,375.42
29,2023-07-18,332.38
29,2023-08-02,246.6
29,2023-11-11,398.44
30,2023-07-20,479.45
30,2023-07-28,254.96
30,2023-08-15,299.41
30,2023-08-22,454.46
30,2023-10-05,441.16
30,2023-10-29,294.54
30,2023-11-28,175.74
30,2023-12-10,190.97
30,2023-12-28,379.26
31,2023-06-11,302.56
31,2023-07-14,471.17
31,2023-07-30,424.04
31,2023-10-07,137.24
31,2023-10-17,483.03
31,2023-10-21,106.06
31,2023-11-02,154.62
31,2023-11-09,153.22
31,2023-12-24,321.91
32,2023-02-12,410.29
32,2023-03-16,446.5
32,2023-08-20,278.19
32,2023-10-02,76.6
32,2023-10-10,398.07
32,2023-11-23,102.17
32,2023-11-25,421.14
33,2023-10-10,192.17
33,2023-10-24,22.17
33,2023-11-21,164.39
33,2023-12-08,460.55
33,2023-12-08,417.7
33,2023-12-17,161.86
33,2023-12-19,294.62
33,2023-12-26,25.79
33,2023-12-30,240.98
34,2023-01-04,109.57
34,2023-01-10,223.96
34,2023-01-16,481.77
34,2023-02-03,274.54
34,2023-04-22,229.97
34,2023-05-12,494.58
34,2023-09-06,67.1
34,2023-11-24,97.64
34,2023-12-11,49.48
35,2023-10-03,352.54
35,2023-10-21,89.92
35,2023-10-26,465.6
35,2023-11-10,302.9
35,2023-11-16,67.45
35,2023-12-28,353.05
36,2023-01-28,283.87
36,2023-07-22,105.57
36,2023-07-25,234.88
36,2023-10-18,330.41
36,2023-11-01,58.87
36,2023-11-03,163.46
36,2023-11-05,254.96
36,2023-11-25,120.84
36,2023-12-15,21.98
37,2023-10-07,305.18
37,2023-10-10,85.36
37,2023-10-30,120.99
37,2023-11-08,209.21
37,2023-11-14,172.14
37,2023-12-01,445.68
37,2023-12-10,196.28
37,2023-12-10,172.54
37,2023-12-11,254.72
37,2023-12-21,140.28
38,2023-04-08,368.29
38,2023-04-08,242.88
38,2023-04-17,300.65
38,2023-08-04,38.24
38,2023-09-12,232.82
